manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,local_date,daily_actual_work_value
KOMATSU,PC200,8M0,C12877,2017-11-08T20:24:49+07:00,-7.503333,112.103166,2019-01-09,0.0
KOMATSU,PC200,8M0,C12876,2019-01-10T01:36:28+07:00,-6.507766,106.516133,2019-01-09,512.0
KOMATSU,PC200,8M0,C12875,2018-09-25T18:03:45+09:00,-6.130766,106.686466,2018-09-25,0.0
KOMATSU,PC200,8M0,C12874,2019-01-09T01:17:28+07:00,-7.536432,112.719066,2019-01-08,0.0
KOMATSU,PC200,8M0,C12873,2018-02-22T06:52:09+07:00,-7.312766,112.634699,2018-02-21,24.0
KOMATSU,PC200,8M0,C12872,2019-01-10T01:41:28+07:00,-7.019266,109.178733,2019-01-09,600.0
KOMATSU,PC200,8M0,C12871,2017-08-26T01:43:02+07:00,-7.532433,112.717399,2017-08-25,108.0
KOMATSU,PC200,8M0,C12870,2018-10-29T08:28:00+07:00,3.730966,116.696866,2018-10-28,57.0
KOMATSU,PC200,8M0,C12869,2018-11-17T01:14:26+07:00,-1.2407,119.481533,2018-11-16,285.0
KOMATSU,PC200,8M0,C12868,2019-01-10T01:13:27+07:00,-0.649366,115.972833,2019-01-09,0.0
KOMATSU,PC200,8M0,C12867,2019-01-10T01:40:28+07:00,-4.267833,102.941667,2019-01-09,0.0
KOMATSU,PC200,8M0,C12864,2018-03-02T01:41:18+07:00,0.5589,111.379433,2018-03-01,19.0
KOMATSU,PC200,8M0,C12863,2019-01-10T01:28:28+07:00,2.592899,117.721067,2019-01-09,483.0
KOMATSU,PC200,8M0,C12862,2019-01-09T01:06:29+07:00,2.618333,117.710467,2019-01-08,17.0
KOMATSU,PC200,8M0,C12861,2019-01-10T01:31:29+07:00,-2.979466,122.217367,2019-01-09,0.0
KOMATSU,PC200,8M0,C12860,2019-01-10T01:20:00+07:00,-8.564799,116.0976,2019-01-09,291.0
KOMATSU,PC200,8M0,C12859,2016-02-19T01:00:45+07:00,-2.116833,102.550633,2016-02-18,11.0
KOMATSU,PC200,8M0,C12856,2018-05-23T01:45:00+07:00,-2.1326,101.879899,2018-05-22,635.0
KOMATSU,PC200,8M0,C12855,2019-01-10T01:37:28+07:00,-2.536266,112.927899,2019-01-09,0.0
KOMATSU,PC200,8M0,C12854,2017-06-16T01:24:00+07:00,-1.867299,101.940666,2017-06-15,910.0
KOMATSU,PC200,8M0,C12853,2019-01-10T01:23:28+07:00,-6.837333,108.2889,2019-01-09,0.0
KOMATSU,PC200,8M0,C12852,2018-11-27T12:49:58+07:00,3.621067,125.465999,2018-11-26,115.0
KOMATSU,PC200,8M0,C12851,2019-01-10T01:46:28+07:00,-3.762433,102.513932,2019-01-09,347.0
KOMATSU,PC200,8M0,C12850,2019-01-10T01:45:27+07:00,-2.979666,104.652,2019-01-09,157.0
KOMATSU,PC200,8M0,C12849,2019-01-10T01:20:28+07:00,-4.426599,104.313766,2019-01-09,0.0
KOMATSU,PC200,8M0,C12848,2019-01-10T01:09:00+07:00,3.717999,116.697399,2019-01-09,482.0
KOMATSU,PC200,8M0,C12847,2018-11-07T07:18:10+07:00,3.717866,116.697166,2018-11-07,0.0
KOMATSU,PC200,8M0,C12846,2019-01-06T01:28:27+07:00,1.443766,117.735299,2019-01-05,343.0
KOMATSU,PC200,8M0,C12838,2019-01-10T01:39:00+07:00,-2.351067,110.166966,2019-01-09,947.0
KOMATSU,PC200,8M0,C12837,2019-01-10T01:06:28+07:00,-7.045666,110.427066,2019-01-09,308.0
KOMATSU,PC200,8M0,C12836,2019-01-10T01:28:28+07:00,-6.9914,108.649033,2019-01-09,540.0
KOMATSU,PC200,8M0,C12835,2019-01-10T01:20:03+07:00,-6.882833,107.141266,2019-01-09,357.0
KOMATSU,PC200,8M0,C12834,2019-01-09T01:43:28+07:00,-5.1113,104.935633,2019-01-08,9.0
KOMATSU,PC200,8M0,C12833,2019-01-10T01:28:00+07:00,-6.449766,106.609933,2019-01-09,466.0
KOMATSU,PC200,8M0,C12832,2019-01-10T01:34:28+07:00,-6.446233,106.6101,2019-01-09,457.0
KOMATSU,PC200,8M0,C12831,2019-01-10T01:12:28+07:00,-6.911199,107.725233,2019-01-09,0.0
KOMATSU,PC200,8M0,C12830,2019-01-10T01:42:28+07:00,-6.830033,107.454699,2019-01-09,336.0
KOMATSU,PC200,8M0,C12829,2019-01-10T01:40:28+07:00,-6.917533,107.575732,2019-01-09,0.0
KOMATSU,PC200,8M0,C12828,2019-01-10T01:25:00+07:00,-6.784299,107.9871,2019-01-09,365.0
KOMATSU,PC200,8M0,C12827,2018-12-30T01:27:00+07:00,-6.791266,107.970499,2018-12-29,879.0
KOMATSU,PC200,8M0,C12826,2019-01-10T01:20:25+07:00,-2.345766,139.587032,2019-01-09,376.0
KOMATSU,PC200,8M0,C12825,2019-01-09T01:30:28+07:00,-1.927566,115.828699,2019-01-08,78.0
