manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,comm_setting_group,comm_setting_group_id,comm_setting_group_td,db_group,db_group_id,db_group_country,customer,customer_id,customer_code,customer_country
KOMATSU,WB93R,5E0,F63875,2017-04-18T15:41:00+07:00,-0.926067,119.882967,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,DINAS BINA MARGA,423997.0,33999,ID
KOMATSU,WB93R,5E0,F63869,2019-01-10T00:42:00+07:00,-6.996166,110.456067,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BENDAHARA PENGELUARAN DI,403118.0,36973,ID
KOMATSU,WB93R,5E0,F63866,2018-12-30T16:12:00+07:00,-3.820666,119.635233,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BEND RUTIN DINAS PEKERJA,400457.0,33288,ID
KOMATSU,WB93R,5E0,F63800,2019-01-10T01:44:00+07:00,-1.076166,100.371699,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MIDIGIO,306775.0,27192,ID
KOMATSU,WB93R,5E0,F63799,2019-01-08T17:35:00+07:00,4.1145,96.299867,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BEND. RUTIN DINAS PENDAP,451580.0,33234,ID
KOMATSU,WB93R,5E0,F63798,2017-09-23T01:22:00+07:00,-4.025233,105.491633,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BEND PENG DINAS PU,406257.0,35551,ID
KOMATSU,WA800,3E0,70135,2019-01-10T01:44:00+07:00,-6.5183,106.942967,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,INDOCEMENT TUNGGAL PRAKA,370183.0,10489,ID
KOMATSU,WA800,3E0,70101,2019-01-10T01:34:00+07:00,-6.511466,106.945633,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,INDOCEMENT TUNGGAL PRAKA,370183.0,10489,ID
KOMATSU,WA800,3E0,70100,2018-12-15T15:26:00+07:00,-6.496733,106.923567,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,INDOCEMENT TUNGGAL PRAKA,370183.0,10489,ID
KOMATSU,WA800,3E0,70098,2019-01-10T01:39:00+07:00,-6.512666,106.945433,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,INDOCEMENT TUNGGAL PRAKA,370183.0,10489,ID
KOMATSU,WA800,3,50147,2019-01-10T02:09:00+08:00,-2.165033,115.501766,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,SAPTAINDRA SEJATI,301673.0,20174,ID
KOMATSU,WA800,3,50146,2019-01-10T02:38:00+08:00,-2.159833,115.566266,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,SAPTAINDRA SEJATI,301673.0,20174,ID
KOMATSU,WA800,3,50144,2019-01-10T02:05:00+08:00,-2.305966,115.479233,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,SAPTAINDRA SEJATI,301673.0,20174,ID
KOMATSU,WA800,3,50143,2018-10-12T23:52:00+08:00,-2.304532,115.478766,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,SAPTAINDRA SEJATI,301673.0,20174,ID
KOMATSU,WA800,3,50142,2019-01-10T02:15:00+08:00,-2.231332,115.501366,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA800,3,50141,2019-01-10T02:02:00+08:00,-2.194799,115.498832,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA800,3,50140,2016-04-24T09:34:00+08:00,-2.181833,115.540399,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA800,3,50139,2016-05-23T10:30:00+08:00,-2.182299,115.540066,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA800,3,50138,2015-12-04T23:24:00+08:00,-2.2671,115.495566,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA800,3,50137,2014-12-13T03:36:00+08:00,-2.183033,115.551166,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,SAPTAINDRA SEJATI,301673.0,20174,ID
KOMATSU,WA800,3,50136,2019-01-10T02:07:00+08:00,-2.2144,115.5351,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA800,3,50135,2017-06-01T11:11:00+08:00,-2.215166,115.534799,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA800,3,50133,2015-05-10T01:04:00+08:00,0.5996,117.438133,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,KALTIM PRIMA COAL,301291.0,14908,ID
KOMATSU,WA800,3,50132,2014-09-25T10:19:00+08:00,0.602766,117.437233,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,KALTIM PRIMA COAL,301291.0,14908,ID
KOMATSU,WA800,3,50129,2018-06-01T01:11:00+08:00,-2.232,115.501233,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA600,3A,52721,2019-01-10T01:30:00+07:00,3.724633,117.216199,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MANDALA KARYA PRIMA,309398.0,12278,ID
KOMATSU,WA600,3A,52720,2019-01-10T01:42:00+07:00,3.726332,117.217367,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MANDALA KARYA PRIMA,309398.0,12278,ID
KOMATSU,WA600,3A,52719,2019-01-10T01:22:00+07:00,-2.9707,115.196599,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BHUMI RANTAU ENERGI,393957.0,24214,ID
KOMATSU,WA600,3A,52717,2019-01-10T02:35:00+08:00,0.122632,117.366466,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA600,3A,52715,2019-01-10T01:05:00+07:00,-3.224233,114.997399,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,RIMBATA KALIMANJAYA,494283.0,37767,ID
KOMATSU,WA600,3A,52714,2019-01-10T01:34:00+07:00,-2.956633,115.208166,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,KALIMANTAN PRIMA PERSADA,311670.0,20862,ID
KOMATSU,WA600,3A,52713,2019-01-09T01:28:00+07:00,0.817399,117.8689,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,KALIMANTAN PRIMA PERSADA,311670.0,20862,ID
KOMATSU,WA600,3A,52712,2018-05-28T02:10:00+08:00,0.625467,117.432399,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA600,3A,52709,2019-01-10T01:21:00+07:00,-3.599066,115.627533,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BANGUN ARTA HUTAMA,457519.0,28047,ID
KOMATSU,WA600,3A,52708,2019-01-10T01:20:00+07:00,0.985399,117.6694,Cr Indonesia 7,W0024,7.0,PTUT,PTUT,ID,KALIMANTAN PRIMA PERSADA,311670.0,20862,ID
KOMATSU,WA600,3A,52707,2019-01-09T01:25:00+07:00,-2.971699,115.200966,Cr Indonesia 7,W0024,7.0,PTUT,PTUT,ID,KALIMANTAN PRIMA PERSADA,311670.0,20862,ID
KOMATSU,WA600,3A,52706,2018-12-18T14:22:00+07:00,-2.971366,115.201166,Cr Indonesia 7,W0024,7.0,PTUT,PTUT,ID,KALIMANTAN PRIMA PERSADA,311670.0,20862,ID
KOMATSU,WA600,3A,52704,2018-02-11T01:35:00+08:00,2.318932,117.543599,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BUKIT MAKMUR MANDIRI UTAMA,301047.0,18421,ID
KOMATSU,WA600,3A,52663,2019-01-10T01:43:00+07:00,-6.716233,108.391432,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,INDOCEMENT TUNGGAL PRAKA,370183.0,10489,ID
KOMATSU,WA600,3A,52662,2019-01-10T01:23:00+07:00,-3.934033,115.1876,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MANDIRI CITRA BERSAMA,367237.0,21434,ID
