manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,abnormality_code,abnormality_name,local_datetime,abnormality_smr,abnomrmality_onmonitor,abnormality_onmonitor_id,abnormality_action_level,abnormality_type,abnormality_type_id
KOMATSU,PC200,8M0,C12686,2019-01-10T01:20:00+07:00,2.158633,117.399466,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T07:22:52+07:00,469070.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12681,2019-01-10T01:09:29+07:00,-3.732566,103.720333,AB00KE,ALTERNATOR + DEFECTIVE CHARGING,2019-01-09T07:37:33+07:00,319836.0,Yes,1.0,L03,Mechanical,1.0
KOMATSU,PC200,8M0,C12665,2019-01-09T01:09:56+07:00,-6.648433,108.000599,CA331,INJ #2(L#2) OPEN/SHORT ERROR,2019-01-09T18:40:34+07:00,1515130.0,Yes,1.0,L03,Electrical,0.0
KOMATSU,PC200,8M0,C12665,2019-01-09T01:09:56+07:00,-6.648433,108.000599,CA131,THROTTLE SENSOR HIGH ERROR,2019-01-09T00:18:32+07:00,1514226.0,Yes,1.0,L03,Electrical,0.0
KOMATSU,PC200,8M0,C12664,2019-01-10T01:15:29+07:00,-6.794633,107.955499,B@BAZK,ENGINE OIL + DECREASE IN QUANTITY,2019-01-09T05:32:33+07:00,1098789.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC200,8M0,C12663,2019-01-10T01:28:29+07:00,-6.190966,106.591533,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T10:29:19+07:00,265920.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12649,2019-01-10T01:49:30+07:00,-3.282833,101.678033,CA559,RAIL PRESS LOW ERROR,2019-01-09T08:06:05+07:00,586938.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12637,2019-01-09T01:03:29+07:00,-1.645033,111.746432,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T09:26:14+07:00,370961.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12617,2019-01-10T01:20:24+07:00,-3.312199,134.836067,CA559,RAIL PRESS LOW ERROR,2019-01-09T14:39:54+07:00,544560.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12612,2019-01-10T01:13:29+07:00,-1.143932,136.060033,CA2265,FUEL FEED PUMP OPEN ERROR,2019-01-09T05:21:55+07:00,223138.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12610,2019-01-10T01:35:29+07:00,-3.192899,101.843699,DV20KB,BACK-UP ALARM BUZZER + SHORT CIRCUIT,2019-01-09T10:31:20+07:00,727786.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12610,2019-01-10T01:35:29+07:00,-3.192899,101.843699,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T10:28:02+07:00,727784.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12607,2019-01-10T01:24:29+07:00,-8.406833,115.479733,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T07:03:33+07:00,392955.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12604,2019-01-10T01:31:29+07:00,-6.785499,108.825933,CA222,AMBIENT PRESS SENS LOW ERROR,2019-01-09T15:10:06+07:00,479897.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12588,2019-01-10T02:38:00+08:00,-0.593366,117.0813,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T13:08:24+07:00,473745.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12588,2019-01-10T02:38:00+08:00,-0.593366,117.0813,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T13:08:27+07:00,473745.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12547,2019-01-10T01:14:00+07:00,-3.3284,129.843832,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T00:13:39+07:00,318022.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12538,2019-01-10T02:46:29+08:00,-2.129299,110.804366,AB00KE,ALTERNATOR + DEFECTIVE CHARGING,2019-01-09T05:51:52+07:00,401825.0,Yes,1.0,L03,Mechanical,1.0
KOMATSU,PC200,8M0,C12537,2019-01-10T01:12:30+07:00,1.056566,117.788466,DHSFMA,TRAVEL PPC P.SENSOR;FORWARD LEFT + DEFECTIVE FUNCTION,2019-01-09T06:14:41+07:00,428507.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12536,2019-01-10T01:21:00+07:00,0.084799,117.115467,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T05:11:56+07:00,350585.0,No,0.0,L00,Electrical,0.0
