manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_origin,gps_datum,gps_latitude,gps_longitude
KOMATSU,WA500,3,53176,2018-11-24T00:33:00+07:00,measure,WGS84,-0.9845,114.3869
KOMATSU,WA500,3,53175,2017-04-03T01:33:00+07:00,measure,WGS84,-3.307032,116.0363
KOMATSU,WA500,3,53174,2019-01-10T01:26:00+07:00,measure,WGS84,-3.8063,115.488333
KOMATSU,WA500,3,53173,2019-01-10T01:17:00+07:00,measure,WGS84,-3.806133,115.488266
KOMATSU,WA500,3,53172,2018-07-31T01:26:00+07:00,measure,WGS84,-3.304033,116.032299
KOMATSU,WA500,3,53171,2018-12-10T01:38:00+07:00,measure,WGS84,-3.597266,135.305467
KOMATSU,WA500,3,53123,2019-01-08T01:00:00+07:00,measure,WGS84,-3.689966,135.404867
KOMATSU,WA500,3,53122,2015-08-05T14:26:00+07:00,measure,WGS84,-3.461866,114.771599
KOMATSU,WA500,3,53121,2015-10-01T00:08:00+07:00,measure,WGS84,-3.4619,114.771566
KOMATSU,WA500,3,53120,2019-01-08T02:11:00+08:00,measure,WGS84,-0.648433,117.215299
KOMATSU,WA480,6,92110,2019-01-10T00:06:00+07:00,measure,WGS84,-6.153666,106.934
KOMATSU,WA480,6,92109,2019-01-10T00:44:00+07:00,measure,WGS84,-6.153633,106.9339
KOMATSU,WA480,6,92108,2019-01-10T00:12:00+07:00,measure,WGS84,-6.1539,106.934266
KOMATSU,WA480,6,92093,2019-01-09T02:08:00+08:00,measure,WGS84,-0.563533,117.008666
KOMATSU,WA480,6,92074,2019-01-10T01:24:23+07:00,measure,WGS84,-6.153466,106.934633
KOMATSU,WA480,6,92073,2019-01-10T01:12:23+07:00,measure,WGS84,-6.153699,106.934699
KOMATSU,WA480,6,92036,2019-01-10T01:09:25+07:00,measure,WGS84,-6.153567,106.9369
KOMATSU,WA480,6,92034,2019-01-10T02:03:00+08:00,measure,WGS84,-2.898099,115.265999
KOMATSU,WA480,6,92033,2019-01-02T01:38:25+07:00,measure,WGS84,-2.989,114.787133
KOMATSU,WA480,6,92007,2019-01-10T01:09:00+07:00,measure,WGS84,-2.988466,114.785066
KOMATSU,WA480,6,92006,2019-01-10T02:08:00+08:00,measure,WGS84,-3.047299,115.152233
KOMATSU,WA480,6,91874,2019-01-10T02:29:00+08:00,measure,WGS84,-2.889433,115.270933
KOMATSU,WA480,6,91873,2019-01-10T01:43:00+07:00,measure,WGS84,-2.991766,114.783699
KOMATSU,WA480,6,91807,2019-01-10T01:20:00+07:00,measure,WGS84,-1.126266,114.4914
KOMATSU,WA480,6,91787,2018-12-05T01:20:00+07:00,measure,WGS84,2.088533,117.3189
KOMATSU,WA480,6,91743,2019-01-09T10:10:00+08:00,measure,WGS84,-6.869199,111.459333
KOMATSU,WA480,6,91742,2019-01-08T19:11:00+07:00,measure,WGS84,2.165,117.3834
KOMATSU,WA480,6,91741,2019-01-09T12:47:00+07:00,measure,WGS84,2.163633,117.383166
KOMATSU,WA480,6,91346,2019-01-06T12:43:00+08:00,measure,WGS84,-2.896332,115.2677
KOMATSU,WA480,6,91339,2019-01-10T02:07:00+08:00,measure,WGS84,-0.986466,114.389799
KOMATSU,WA480,6,91338,2019-01-10T01:14:00+08:00,measure,WGS84,-0.977666,114.381033
KOMATSU,WA480,6,91337,2018-12-25T19:13:00+08:00,measure,WGS84,-0.562199,117.011233
KOMATSU,WA480,6,91336,2019-01-10T01:22:00+07:00,measure,WGS84,-3.699199,115.558232
KOMATSU,WA480,6,91318,2019-01-10T01:20:00+07:00,measure,WGS84,-3.745966,115.645299
KOMATSU,WA480,6,91317,2019-01-10T01:25:00+07:00,measure,WGS84,-3.745999,115.645533
KOMATSU,WA480,6,91316,2018-03-06T00:59:00+07:00,measure,WGS84,-0.544433,117.023766
KOMATSU,WA480,6,91315,2019-01-10T01:33:00+07:00,measure,WGS84,-0.305732,117.045933
