manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,local_date,daily_smr_value,daily_smr_map
KOMATSU,PC200,8M0,C19776,2019-01-10T02:14:33+08:00,-1.112367,115.019966,2019-01-08,264.0,000000000000000000000000
KOMATSU,PC200,8M0,C19775,2019-01-10T02:13:33+08:00,-1.834167,113.857733,2019-01-09,696.0,000000787ffffffff9831800
KOMATSU,PC200,8M0,C19770,2018-11-22T09:32:49+07:00,0.825766,123.003266,2019-01-04,1.0,000000000000000000000000
KOMATSU,PC200,8M0,C19762,2019-01-10T01:13:33+07:00,-0.871099,103.524066,2019-01-09,551.0,00000007ffffffffc0000000
KOMATSU,PC200,8M0,C19761,2019-01-10T02:04:33+08:00,-1.834133,113.857666,2019-01-09,106.0,000003380000000000860000
KOMATSU,PC200,8M0,C19760,2019-01-10T02:03:00+08:00,0.4751,115.413567,2019-01-09,408.0,00000007f9f01ffc00000000
KOMATSU,PC200,8M0,C19759,2019-01-10T01:06:00+07:00,-2.381099,112.1883,2019-01-09,337.0,000000003fff03fe00000000
KOMATSU,PC200,8M0,C19758,2019-01-10T01:32:33+07:00,-2.206799,112.139733,2019-01-09,217.0,000000000000000fffc00000
KOMATSU,PC200,8M0,C19757,2019-01-10T01:16:33+07:00,-6.571799,107.594266,2019-01-09,808.0,0000003fffff3fffff3fe000
KOMATSU,PC200,8M0,C19756,2018-10-02T01:00:00+07:00,-6.5726,107.593633,2018-10-01,853.0,0000001fffff3fffff7ffe00
KOMATSU,PC200,8M0,C19755,2019-01-10T01:14:33+07:00,-0.1427,115.870999,2019-01-09,443.0,00000607ffc003fff8000000
KOMATSU,PC200,8M0,C19754,2019-01-10T01:42:33+07:00,-0.792066,100.318832,2019-01-09,424.0,00000000fffc07fff0000000
KOMATSU,PC200,8M0,C19753,2019-01-10T01:14:31+07:00,-0.1425,115.870833,2019-01-09,136.0,0000000000000001ff000000
KOMATSU,PC200,8M0,C19752,2018-06-10T06:19:06+07:00,0.872533,122.657233,2018-06-10,23.0,000001000000000000000000
KOMATSU,PC200,8M0,C19751,2018-10-29T15:13:28+07:00,0.813733,122.992066,2018-10-29,66.0,00000000000000f800000000
KOMATSU,PC200,8M0,C19750,2019-01-10T01:12:33+07:00,0.558033,121.238633,2019-01-09,49.0,000000000000006001000000
KOMATSU,PC200,8M0,C19749,2019-01-10T01:12:33+07:00,0.4971,121.218699,2019-01-09,503.0,0000000001ffe0e0ffffe000
KOMATSU,PC200,8M0,C19748,2018-09-21T11:36:09+07:00,0.813433,122.992399,2018-10-29,0.0,000000000000000000000000
KOMATSU,PC200,8M0,C19747,2019-01-08T01:00:00+07:00,0.869333,122.652766,2018-12-27,0.0,000000000000000000000000
KOMATSU,PC200,8M0,C19746,2019-01-03T01:04:00+07:00,-0.911166,115.815566,2019-01-02,25.0,0000000000000c0000000000
KOMATSU,PC200,8M0,C19729,2019-01-10T01:15:33+07:00,-2.836566,122.174566,2019-01-09,549.0,0000007fff8fffff80000000
KOMATSU,PC200,8M0,C19728,2019-01-10T01:51:33+07:00,-2.822266,122.125566,2018-12-16,25.0,000000000000000000000000
KOMATSU,PC200,8M0,C19720,2019-01-10T01:24:29+07:00,-3.402166,114.814799,2018-12-20,4.0,000000000000000000000000
KOMATSU,PC200,8M0,C19716,2019-01-10T01:19:33+07:00,-1.9051,111.159466,2019-01-09,226.0,000000001ffe0e0000000000
KOMATSU,PC200,8M0,C19715,2018-09-19T08:13:47+07:00,-6.186799,106.775866,2018-09-19,2.0,000000000000000000000000
KOMATSU,PC200,8M0,C19714,2019-01-10T01:16:33+07:00,-6.827833,111.873599,2019-01-09,811.0,00000000fffffffffffffe00
KOMATSU,PC200,8M0,C19713,2019-01-10T01:24:33+07:00,-0.9139,134.022066,2019-01-09,144.0,0000000000ffc00000000000
KOMATSU,PC200,8M0,C19712,2019-01-09T01:41:33+07:00,-0.8909,134.039333,2019-01-08,6.0,000000000000000000000000
KOMATSU,PC200,8M0,C19697,2019-01-10T01:10:00+07:00,3.660467,117.231466,2019-01-09,1075.0,03fe2ffffff0ffffebefffc0
KOMATSU,PC200,8M0,C19696,2019-01-10T01:06:33+07:00,-7.207,106.936667,2019-01-04,20.0,000000000000000000000000
KOMATSU,PC200,8M0,C19693,2019-01-10T01:00:00+07:00,-0.876199,116.009333,2018-12-13,0.0,000000000000000000000000
KOMATSU,PC200,8M0,C19692,2018-12-10T01:12:32+07:00,-0.877866,116.017632,2018-11-28,0.0,000000000000000000000000
KOMATSU,PC200,8M0,C19691,2019-01-10T01:33:00+07:00,-1.654633,113.867899,2019-01-09,929.0,fff800003007f7fffdf7ffff
KOMATSU,PC200,8M0,C19690,2019-01-10T01:24:33+07:00,2.139566,116.504666,2019-01-09,544.0,0000001ffff1ffffc0000000
KOMATSU,PC200,8M0,C19689,2019-01-10T01:14:33+07:00,-0.388266,116.762367,2019-01-09,441.0,0000003fffe03ff700000000
KOMATSU,PC200,8M0,C19659,2019-01-10T01:24:34+07:00,4.590433,96.8051,2018-12-31,30.0,000000000000000000000000
KOMATSU,PC200,8M0,C19658,2019-01-10T02:34:42+08:00,0.899333,117.017433,2019-01-09,656.0,000001f807d9fffffffe0000
KOMATSU,PC200,8M0,C19657,2019-01-10T02:22:34+08:00,0.474867,115.413699,2019-01-09,610.0,00000007ffe03ffc00000000
KOMATSU,PC200,8M0,C19656,2019-01-09T02:32:00+08:00,-3.149633,113.646566,2019-01-08,955.0,00000003ffff05fff00fe000
KOMATSU,PC200,8M0,C19655,2019-01-10T02:41:34+08:00,-3.255333,113.724532,2019-01-09,434.0,00000007ffff01ff80000000
KOMATSU,PC200,8M0,C19650,2019-01-10T01:31:00+07:00,-0.905666,115.815633,2019-01-09,23.0,000000080000000000000000
KOMATSU,PC200,8M0,C19649,2019-01-10T01:40:34+07:00,-0.911466,115.815366,2019-01-09,13.0,000000000000000000000000
KOMATSU,PC200,8M0,C19648,2019-01-10T02:30:34+08:00,3.099566,117.317967,2019-01-09,525.0,0000000fffffffff00000000
KOMATSU,PC200,8M0,C19647,2019-01-10T01:35:34+07:00,-0.1426,115.870966,2019-01-09,494.0,0000020ffff80fefb8000000
KOMATSU,PC200,8M0,C19646,2019-01-10T01:09:00+07:00,-0.952466,110.409167,2019-01-09,249.0,0000000007fe0f3e00000000
KOMATSU,PC200,8M0,C19640,2019-01-10T01:35:00+07:00,-0.142367,115.8708,2019-01-09,414.0,0000000fffde03fe00000000
KOMATSU,PC200,8M0,C19639,2019-01-10T01:31:33+07:00,-0.955132,110.403033,2019-01-09,32.0,000000020000000000000000
KOMATSU,PC200,8M0,C19638,2019-01-10T01:33:00+07:00,-7.064633,109.144633,2019-01-09,615.0,00000007fffffffffc000000
KOMATSU,PC200,8M0,C19637,2019-01-10T01:49:34+07:00,-3.315166,119.8275,2018-12-04,5.0,000000000000000000000000
KOMATSU,PC200,8M0,C19636,2019-01-10T01:41:34+07:00,-0.154199,115.914799,2019-01-09,2.0,000000000000000000000000
KOMATSU,PC200,8M0,C19624,2019-01-10T01:45:34+07:00,-0.858499,116.0008,2019-01-09,491.0,0000001fff81ffffc0000000
KOMATSU,PC200,8M0,C19623,2019-01-10T01:46:34+07:00,-0.865566,116.001599,2019-01-09,517.0,000000fffffff0fc00000000
