manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,local_date,value
KOMATSU,WB93R,5E0,F64436,2019-01-09T10:23:00+07:00,3.923699,116.916432,2019-01-08,87.0
KOMATSU,WB93R,5E0,F64427,2018-12-27T10:14:00+07:00,-6.156699,106.934099,2018-12-27,39.0
KOMATSU,WB93R,5E0,F64426,2018-11-27T17:11:00+07:00,-6.156766,106.934133,2018-12-27,35.0
KOMATSU,WB93R,5E0,F64425,2019-01-10T01:19:00+07:00,-1.358766,110.656166,2019-01-09,852.0
KOMATSU,WB93R,5E0,F64424,2019-01-09T07:24:00+07:00,-1.553733,112.732266,2019-01-09,727.0
KOMATSU,WB93R,5E0,F64423,2019-01-10T00:16:00+07:00,-1.280266,116.356033,2019-01-09,636.0
KOMATSU,WB93R,5E0,F64422,2019-01-10T01:11:00+07:00,-0.6439,115.739233,2019-01-09,1795.0
KOMATSU,WB93R,5E0,F64421,2019-01-08T02:42:00+09:00,-8.615233,122.407199,2019-01-07,422.0
KOMATSU,WB93R,5E0,F64345,2019-01-10T00:38:00+07:00,-3.535999,103.881733,2019-01-09,910.0
KOMATSU,WB93R,5E0,F64344,2018-12-31T00:10:00+07:00,-1.721432,103.1314,2018-12-30,118.0
KOMATSU,WB93R,5E0,F64342,2019-01-10T00:42:00+07:00,-0.826033,103.460599,2019-01-09,689.0
KOMATSU,WB93R,5E0,F64341,2019-01-08T16:22:00+07:00,-5.061733,119.541332,2019-01-09,567.0
KOMATSU,WB93R,5E0,F64296,2019-01-10T01:02:00+07:00,-7.905266,110.317266,2019-01-09,105.0
KOMATSU,WB93R,5E0,F64292,2019-01-10T01:21:00+07:00,4.0365,117.094,2019-01-09,1277.0
KOMATSU,WB93R,5E0,F64289,2018-12-28T09:55:00+07:00,3.379199,117.104766,2018-12-28,1786.0
KOMATSU,WB93R,5E0,F64116,2018-10-26T09:00:00+07:00,-6.5051,106.870566,2018-10-26,64.0
KOMATSU,WB93R,5E0,F64115,2019-01-09T23:27:00+07:00,-0.822299,119.887066,2019-01-09,69.0
KOMATSU,WB93R,5E0,F64114,2019-01-02T01:02:00+07:00,-6.142899,106.832333,2019-01-01,72.0
KOMATSU,WB93R,5E0,F64113,2019-01-10T00:09:00+07:00,0.878599,128.287199,2019-01-09,83.0
KOMATSU,WB93R,5E0,F64111,2018-05-16T15:22:00+07:00,-6.156766,106.934066,2018-05-16,54.0
KOMATSU,WB93R,5E0,F64109,2019-01-09T00:26:00+07:00,1.278966,124.6334,2019-01-08,215.0
KOMATSU,WB93R,5E0,F64107,2019-01-10T00:39:00+07:00,-3.195533,121.079466,2019-01-09,126.0
KOMATSU,WB93R,5E0,F64105,2019-01-08T17:46:00+07:00,-3.790766,104.175166,2019-01-09,695.0
KOMATSU,WB93R,5E0,F64100,2018-11-08T11:55:00+07:00,-1.623033,103.643966,2018-11-08,150.0
KOMATSU,WB93R,5E0,F64099,2019-01-10T00:55:00+07:00,0.300132,116.580333,2019-01-09,2929.0
KOMATSU,WB93R,5E0,F64065,2019-01-10T01:06:00+07:00,-2.261266,104.312999,2019-01-09,3276.0
KOMATSU,WB93R,5E0,F64057,2019-01-10T01:39:00+07:00,-0.759066,100.658166,2019-01-09,1520.0
KOMATSU,WB93R,5E0,F64056,2018-12-19T10:01:00+07:00,1.628033,99.201833,2018-12-19,283.0
KOMATSU,WB93R,5E0,F64055,2017-12-25T13:36:00+08:00,0.314833,116.463832,2017-12-24,46.0
KOMATSU,WB93R,5E0,F64053,2018-11-25T19:51:00+07:00,4.684699,96.841699,2018-11-25,1096.0
KOMATSU,WB93R,5E0,F64048,2019-01-10T01:07:00+07:00,0.070233,110.695366,2019-01-09,3431.0
KOMATSU,WB93R,5E0,F64024,2019-01-09T00:34:00+07:00,-5.017466,119.575299,2019-01-08,1524.0
KOMATSU,WB93R,5E0,F64023,2017-10-17T01:30:00+07:00,3.072166,97.974899,2017-10-16,195.0
KOMATSU,WB93R,5E0,F64022,2019-01-10T00:37:00+07:00,-3.798966,115.370366,2019-01-09,1090.0
KOMATSU,WB93R,5E0,F64021,2019-01-09T23:48:00+07:00,-0.822533,119.8877,2019-01-09,617.0
KOMATSU,WB93R,5E0,F64020,2018-12-13T11:01:00+07:00,-1.4546,120.642333,2018-12-13,540.0
KOMATSU,WB93R,5E0,F64019,2018-12-23T13:58:00+07:00,1.062199,121.677066,2018-12-24,668.0
KOMATSU,WB93R,5E0,F64015,2019-01-07T15:16:00+07:00,-7.609233,112.756699,2019-01-07,259.0
KOMATSU,WB93R,5E0,F63995,2018-12-27T08:59:00+07:00,-6.594966,110.665266,2018-12-27,1298.0
KOMATSU,WB93R,5E0,F63994,2019-01-10T00:34:00+07:00,0.779233,117.667632,2019-01-09,2093.0
KOMATSU,WB93R,5E0,F63993,2019-01-10T01:26:00+07:00,2.487666,98.800467,2019-01-09,2363.0
KOMATSU,WB93R,5E0,F63877,2017-05-18T01:22:00+07:00,-1.851966,102.9832,2017-05-17,739.0
KOMATSU,WB93R,5E0,F63876,2019-01-10T01:00:00+07:00,-6.937466,110.528166,2019-01-09,4280.0
KOMATSU,WB93R,5E0,F63875,2017-04-18T15:41:00+07:00,-0.926067,119.882967,2017-04-19,576.0
KOMATSU,WB93R,5E0,F63869,2019-01-10T00:42:00+07:00,-6.996166,110.456067,2019-01-09,1613.0
KOMATSU,WB93R,5E0,F63866,2018-12-30T16:12:00+07:00,-3.820666,119.635233,2018-12-31,1424.0
KOMATSU,WB93R,5E0,F63800,2019-01-10T01:44:00+07:00,-1.076166,100.371699,2019-01-09,5658.0
KOMATSU,WB93R,5E0,F63799,2019-01-08T17:35:00+07:00,4.1145,96.299867,2019-01-09,829.0
KOMATSU,WB93R,5E0,F63798,2017-09-23T01:22:00+07:00,-4.025233,105.491633,2017-09-22,2357.0
KOMATSU,WA800,3E0,70135,2019-01-10T01:44:00+07:00,-6.5183,106.942967,2019-01-09,9645.0
KOMATSU,WA800,3E0,70101,2019-01-10T01:34:00+07:00,-6.511466,106.945633,2019-01-09,16876.0
KOMATSU,WA800,3E0,70100,2018-12-15T15:26:00+07:00,-6.496733,106.923567,2018-12-16,15782.0
KOMATSU,WA800,3E0,70098,2019-01-10T01:39:00+07:00,-6.512666,106.945433,2019-01-09,15489.0
KOMATSU,WA800,3,50150,2019-01-10T01:23:00+07:00,0.538699,116.136266,2019-01-09,80.0
KOMATSU,WA800,3,50149,2019-01-10T01:35:00+07:00,0.295166,116.624066,2019-01-09,177.0
KOMATSU,WA800,3,50148,2019-01-10T01:03:00+07:00,0.525866,116.114899,2019-01-09,109.0
KOMATSU,WA800,3,50147,2019-01-10T02:09:00+08:00,-2.165033,115.501766,2019-01-09,795.0
KOMATSU,WA800,3,50146,2019-01-10T02:38:00+08:00,-2.159833,115.566266,2019-01-09,3275.0
KOMATSU,WA800,3,50144,2019-01-10T02:05:00+08:00,-2.305966,115.479233,2019-01-09,17229.0
KOMATSU,WA800,3,50143,2018-10-12T23:52:00+08:00,-2.304532,115.478766,2019-01-09,13176.0
KOMATSU,WA800,3,50142,2019-01-10T02:15:00+08:00,-2.231332,115.501366,2019-01-09,24445.0
KOMATSU,WA800,3,50141,2019-01-10T02:02:00+08:00,-2.194799,115.498832,2019-01-09,21515.0
KOMATSU,WA800,3,50140,2016-04-24T09:34:00+08:00,-2.181833,115.540399,2019-01-08,18320.0
KOMATSU,WA800,3,50139,2016-05-23T10:30:00+08:00,-2.182299,115.540066,2019-01-09,24718.0
KOMATSU,WA800,3,50138,2015-12-04T23:24:00+08:00,-2.2671,115.495566,2019-01-09,23789.0
KOMATSU,WA800,3,50137,2014-12-13T03:36:00+08:00,-2.183033,115.551166,2019-01-08,24994.0
KOMATSU,WA800,3,50136,2019-01-10T02:07:00+08:00,-2.2144,115.5351,2019-01-09,24307.0
KOMATSU,WA800,3,50135,2017-06-01T11:11:00+08:00,-2.215166,115.534799,2019-01-09,21359.0
KOMATSU,WA800,3,50133,2015-05-10T01:04:00+08:00,0.5996,117.438133,2018-01-27,9916.0
KOMATSU,WA800,3,50132,2014-09-25T10:19:00+08:00,0.602766,117.437233,2016-12-24,15531.0
KOMATSU,WA800,3,50129,2018-06-01T01:11:00+08:00,-2.232,115.501233,2018-05-31,17963.0
KOMATSU,WA600,3A,52725,2019-01-07T01:00:00+07:00,-6.156733,106.934199,2019-01-06,6.0
KOMATSU,WA600,3A,52724,2019-01-10T01:40:00+07:00,-6.156733,106.934133,2019-01-09,6.0
KOMATSU,WA600,3A,52722,2018-08-20T15:17:00+07:00,-6.157199,106.934233,2018-08-19,4.0
KOMATSU,WA600,3A,52721,2019-01-10T01:30:00+07:00,3.724633,117.216199,2019-01-09,1076.0
KOMATSU,WA600,3A,52720,2019-01-10T01:42:00+07:00,3.726332,117.217367,2019-01-09,1218.0
KOMATSU,WA600,3A,52719,2019-01-10T01:22:00+07:00,-2.9707,115.196599,2019-01-09,2183.0
KOMATSU,WA600,3A,52718,2019-01-10T02:38:00+08:00,3.724833,117.214699,2019-01-09,1165.0
KOMATSU,WA600,3A,52717,2019-01-10T02:35:00+08:00,0.122632,117.366466,2019-01-09,107.0
KOMATSU,WA600,3A,52716,2019-01-09T01:27:00+07:00,0.985033,117.666033,2019-01-08,3255.0
KOMATSU,WA600,3A,52715,2019-01-10T01:05:00+07:00,-3.224233,114.997399,2019-01-09,2123.0
KOMATSU,WA600,3A,52714,2019-01-10T01:34:00+07:00,-2.956633,115.208166,2019-01-09,3014.0
KOMATSU,WA600,3A,52713,2019-01-09T01:28:00+07:00,0.817399,117.8689,2019-01-08,3752.0
KOMATSU,WA600,3A,52712,2018-05-28T02:10:00+08:00,0.625467,117.432399,2018-05-27,2160.0
KOMATSU,WA600,3A,52709,2019-01-10T01:21:00+07:00,-3.599066,115.627533,2019-01-09,7968.0
KOMATSU,WA600,3A,52708,2019-01-10T01:20:00+07:00,0.985399,117.6694,2019-01-09,9748.0
KOMATSU,WA600,3A,52707,2019-01-09T01:25:00+07:00,-2.971699,115.200966,2019-01-08,9905.0
KOMATSU,WA600,3A,52706,2018-12-18T14:22:00+07:00,-2.971366,115.201166,2019-01-09,9992.0
KOMATSU,WA600,3A,52704,2018-02-11T01:35:00+08:00,2.318932,117.543599,2019-01-09,9610.0
KOMATSU,WA600,3A,52663,2019-01-10T01:43:00+07:00,-6.716233,108.391432,2019-01-09,10717.0
KOMATSU,WA600,3A,52662,2019-01-10T01:23:00+07:00,-3.934033,115.1876,2019-01-09,14193.0
KOMATSU,WA600,3,52694,2019-01-10T01:05:00+07:00,-6.717566,108.391366,2019-01-09,8344.0
KOMATSU,WA600,3,52688,2017-09-08T05:54:00+07:00,-0.403266,114.867133,2019-01-09,13208.0
KOMATSU,WA600,3,52687,2018-01-20T23:14:00+07:00,-0.403266,114.867166,2019-01-09,12605.0
KOMATSU,WA600,3,52685,2019-01-10T00:59:00+07:00,-0.4033,114.867199,2019-01-09,11912.0
KOMATSU,WA600,3,52684,2018-12-19T06:34:00+07:00,-0.401067,114.863333,2019-01-04,2945.0
KOMATSU,WA500,6R,60253,2019-01-10T00:37:00+07:00,-6.153499,106.934366,2019-01-09,3.0
KOMATSU,WA500,6R,60249,2019-01-10T00:04:00+07:00,-6.153766,106.9344,2019-01-09,5.0
KOMATSU,WA500,6R,60248,2019-01-09T00:42:00+07:00,-6.156766,106.934199,2019-01-08,5.0
KOMATSU,WA500,6R,60246,2019-01-03T00:09:00+07:00,-6.153599,106.936966,2019-01-02,11.0
KOMATSU,WA500,6R,60245,2019-01-09T01:07:00+07:00,-0.305966,117.045933,2019-01-08,28.0
KOMATSU,WA500,6R,60242,2019-01-10T01:04:22+07:00,-3.683866,115.648166,2019-01-09,11.0
KOMATSU,WA500,6R,60238,2019-01-10T01:31:00+07:00,-0.303733,117.047533,2019-01-09,1283.0
KOMATSU,WA500,6R,60233,2019-01-10T01:39:00+07:00,-3.562899,115.638866,2019-01-09,1748.0
KOMATSU,WA500,6R,60230,2019-01-10T01:06:00+07:00,-3.598633,115.630732,2019-01-09,2226.0
KOMATSU,WA500,6R,60229,2019-01-10T01:10:00+07:00,-0.608099,117.282999,2019-01-09,804.0
KOMATSU,WA500,6R,60228,2019-01-10T02:13:00+08:00,-0.989033,114.3895,2019-01-09,2239.0
KOMATSU,WA500,6R,60221,2019-01-10T01:05:27+07:00,-3.7513,115.468232,2019-01-09,77.0
KOMATSU,WA500,6R,60220,2019-01-10T02:18:00+08:00,-1.218066,114.803499,2019-01-09,1828.0
KOMATSU,WA500,6R,60219,2018-11-12T02:48:26+08:00,-1.2169,114.806332,2018-11-11,1463.0
KOMATSU,WA500,6R,60218,2019-01-10T01:07:28+07:00,-3.310599,116.029933,2019-01-09,3054.0
KOMATSU,WA500,6R,60214,2019-01-10T02:00:00+08:00,-3.817999,115.308366,2019-01-09,207.0
KOMATSU,WA500,6R,60213,2019-01-10T02:20:00+08:00,-1.212733,114.801667,2019-01-09,2882.0
KOMATSU,WA500,6R,60210,2019-01-10T00:53:00+07:00,-3.751266,115.468232,2019-01-09,976.0
KOMATSU,WA500,6R,60209,2019-01-07T18:37:00+07:00,-3.310066,116.030299,2019-01-09,4325.0
KOMATSU,WA500,6R,60204,2019-01-10T01:38:00+07:00,-1.124766,114.496366,2019-01-09,6077.0
KOMATSU,WA500,6R,60146,2019-01-10T01:39:00+07:00,-3.736166,115.655866,2019-01-09,3929.0
KOMATSU,WA500,6R,60145,2019-01-10T01:44:00+07:00,-3.736766,115.655999,2019-01-09,3959.0
KOMATSU,WA500,6R,60144,2019-01-10T01:04:00+07:00,2.215132,117.6039,2019-01-09,4204.0
KOMATSU,WA500,6R,60140,2019-01-10T01:27:00+07:00,2.164566,117.412,2019-01-09,2979.0
KOMATSU,WA500,6R,60139,2019-01-09T00:39:00+07:00,-3.751166,115.4684,2019-01-08,3138.0
KOMATSU,WA500,6R,60138,2019-01-10T00:50:00+07:00,-3.751199,115.4683,2019-01-09,2964.0
KOMATSU,WA500,6R,60137,2019-01-09T02:37:00+08:00,-0.841099,115.5301,2019-01-08,642.0
KOMATSU,WA500,6R,60132,2019-01-10T01:13:00+07:00,-3.736266,115.654033,2019-01-09,4795.0
KOMATSU,WA500,6R,60131,2019-01-06T01:06:00+07:00,-0.586067,114.791966,2019-01-05,3310.0
KOMATSU,WA500,6R,60125,2019-01-08T15:42:00+07:00,-3.736332,115.654333,2019-01-09,6136.0
KOMATSU,WA500,6R,60124,2019-01-10T01:02:00+07:00,-3.737066,115.655633,2019-01-09,6241.0
KOMATSU,WA500,6R,60122,2019-01-07T17:34:00+08:00,-1.056833,114.684199,2019-01-09,7131.0
KOMATSU,WA500,6R,60121,2019-01-10T02:24:00+08:00,-1.057967,114.684633,2019-01-09,6664.0
KOMATSU,WA500,6R,60119,2019-01-10T02:36:00+08:00,-2.108533,114.870433,2019-01-09,6442.0
KOMATSU,WA500,6R,60118,2019-01-10T02:38:00+08:00,2.040766,117.448866,2019-01-09,429.0
KOMATSU,WA500,6R,60117,2019-01-10T02:04:00+08:00,-2.363932,115.581332,2019-01-09,1261.0
KOMATSU,WA500,6R,60116,2019-01-10T02:17:00+08:00,-1.216633,114.806533,2019-01-09,6626.0
KOMATSU,WA500,6R,60115,2018-09-22T02:16:00+08:00,1.916466,117.291199,2018-09-21,1105.0
KOMATSU,WA500,6R,60111,2019-01-10T02:42:00+08:00,-1.053066,114.681933,2019-01-09,1137.0
KOMATSU,WA500,6R,60110,2019-01-10T02:10:00+08:00,-0.990433,114.3902,2019-01-09,10502.0
KOMATSU,WA500,3A,53181,2018-12-15T01:28:00+07:00,-3.045333,104.206667,2018-12-14,19347.0
KOMATSU,WA500,3A,53114,2019-01-10T01:41:00+07:00,-1.122999,114.487199,2019-01-09,18604.0
KOMATSU,WA500,3A,53113,2018-11-23T08:39:00+08:00,-0.977166,114.381099,2019-01-09,27089.0
KOMATSU,WA500,3A,53112,2013-09-20T08:45:00+07:00,-6.185499,106.9309,2018-12-23,20425.0
KOMATSU,WA500,3A,53108,2018-01-21T01:49:00+08:00,-2.227367,114.950732,2018-01-20,8577.0
KOMATSU,WA500,3A,53107,2019-01-10T02:28:00+08:00,-0.308033,117.040166,2019-01-09,14229.0
KOMATSU,WA500,3A,53106,2017-07-31T00:35:00+07:00,-3.085132,115.107333,2017-07-30,8327.0
KOMATSU,WA500,3A,53105,2017-06-08T01:10:00+07:00,-0.461799,117.125966,2017-06-07,13480.0
KOMATSU,WA500,3A,53104,2013-03-25T11:06:00+08:00,-6.117566,106.9433,2018-02-27,11922.0
KOMATSU,WA500,3A,53102,2017-07-09T07:14:00+07:00,-3.886099,115.304899,2017-07-10,12993.0
KOMATSU,WA500,3A,53101,2016-01-01T00:34:00+07:00,-3.797166,115.479532,2015-12-31,8101.0
KOMATSU,WA500,3A,53100,2019-01-10T01:08:00+07:00,-0.397199,113.4133,2019-01-09,4961.0
KOMATSU,WA500,3A,53099,2019-01-09T01:01:00+07:00,-3.887,115.3051,2019-01-08,20710.0
KOMATSU,WA500,3A,53098,2017-06-08T01:18:00+07:00,-3.797133,115.479566,2017-06-07,8229.0
KOMATSU,WA500,3A,53097,2019-01-10T01:23:00+07:00,-3.797367,115.479699,2019-01-09,11707.0
KOMATSU,WA500,3A,53096,2016-12-28T20:03:00+07:00,-3.801833,115.477899,2016-12-28,0.0
KOMATSU,WA500,3A,53095,2015-08-06T01:23:00+07:00,-3.7975,115.479466,2015-08-05,8398.0
KOMATSU,WA500,3A,53094,2016-06-11T01:03:00+07:00,-3.8044,115.476466,2016-06-10,9360.0
KOMATSU,WA500,3A,53092,2019-01-09T01:35:00+07:00,-3.766199,115.449966,2019-01-08,2543.0
KOMATSU,WA500,3A,53078,2019-01-10T01:28:00+07:00,-3.933866,115.192433,2019-01-09,18287.0
KOMATSU,WA500,3,53216,2019-01-10T01:02:00+07:00,2.087233,117.318966,2019-01-09,16084.0
KOMATSU,WA500,3,53215,2019-01-10T02:28:00+08:00,-0.321667,114.833466,2019-01-09,9900.0
KOMATSU,WA500,3,53214,2016-12-17T01:09:00+07:00,-3.3045,116.032233,2016-12-16,2628.0
KOMATSU,WA500,3,53211,2019-01-10T01:18:00+07:00,-3.307999,116.031099,2019-01-09,13849.0
KOMATSU,WA500,3,53210,2018-11-08T01:25:00+07:00,-3.310467,116.030266,2018-11-07,13366.0
KOMATSU,WA500,3,53206,2019-01-10T01:03:00+07:00,-3.307766,116.029966,2019-01-09,13067.0
KOMATSU,WA500,3,53205,2018-12-31T01:19:00+07:00,3.7796,98.6809,2018-12-30,11503.0
KOMATSU,WA500,3,53204,2018-06-29T02:36:00+07:00,-3.740366,115.6582,2019-01-02,16591.0
KOMATSU,WA500,3,53203,2019-01-10T00:56:00+07:00,-3.784066,115.449966,2019-01-09,10770.0
KOMATSU,WA500,3,53202,2014-11-29T05:28:00+07:00,-2.968733,115.2108,2019-01-09,12173.0
KOMATSU,WA500,3,53201,2018-11-06T02:05:00+08:00,2.796033,117.526933,2018-11-05,9896.0
KOMATSU,WA500,3,53200,2015-07-03T05:39:00+07:00,-2.968433,115.211599,2018-10-12,11121.0
KOMATSU,WA500,3,53193,2019-01-09T02:22:00+08:00,-0.618932,114.800299,2019-01-08,9851.0
KOMATSU,WA500,3,53192,2019-01-10T02:16:00+08:00,-0.619066,114.798466,2019-01-09,11215.0
KOMATSU,WA500,3,53191,2019-01-10T00:30:00+07:00,-3.085333,115.1075,2019-01-09,6536.0
KOMATSU,WA500,3,53190,2019-01-10T01:18:00+07:00,-3.738666,115.6533,2019-01-09,21091.0
KOMATSU,WA500,3,53189,2019-01-10T01:42:00+07:00,2.088433,117.318533,2019-01-09,21908.0
KOMATSU,WA500,3,53188,2018-11-18T11:20:00+07:00,-2.884966,133.964733,2019-01-09,8833.0
KOMATSU,WA500,3,53187,2018-10-17T12:32:00+07:00,-3.782466,115.451933,2019-01-09,11745.0
KOMATSU,WA500,3,53186,2019-01-10T01:23:00+07:00,-3.045366,104.206533,2019-01-09,19278.0
KOMATSU,WA500,3,53185,2019-01-10T00:54:00+07:00,-3.668866,135.365299,2019-01-09,12738.0
KOMATSU,WA500,3,53180,2017-04-20T01:09:00+07:00,-3.0459,104.206933,2017-04-19,11540.0
KOMATSU,WA500,3,53177,2019-01-10T01:27:00+07:00,-1.125599,114.492899,2019-01-09,19793.0
KOMATSU,WA500,3,53176,2018-11-24T00:33:00+07:00,-0.9845,114.3869,2018-11-23,16784.0
KOMATSU,WA500,3,53175,2017-04-03T01:33:00+07:00,-3.307032,116.0363,2017-04-02,13563.0
KOMATSU,WA500,3,53174,2019-01-10T01:26:00+07:00,-3.8063,115.488333,2019-01-09,18760.0
KOMATSU,WA500,3,53173,2019-01-10T01:17:00+07:00,-3.806133,115.488266,2019-01-09,18171.0
KOMATSU,WA500,3,53172,2018-07-31T01:26:00+07:00,-3.304033,116.032299,2018-07-30,18683.0
KOMATSU,WA500,3,53171,2018-12-10T01:38:00+07:00,-3.597266,135.305467,2018-12-09,7867.0
KOMATSU,WA500,3,53123,2019-01-08T01:00:00+07:00,-3.689966,135.404867,2019-01-07,9219.0
KOMATSU,WA500,3,53122,2015-08-05T14:26:00+07:00,-3.461866,114.771599,2016-12-04,4068.0
KOMATSU,WA500,3,53121,2015-10-01T00:08:00+07:00,-3.4619,114.771566,2018-10-18,4043.0
KOMATSU,WA500,3,53120,2019-01-08T02:11:00+08:00,-0.648433,117.215299,2019-01-07,26069.0
KOMATSU,WA480,6,92110,2019-01-10T00:06:00+07:00,-6.153666,106.934,2019-01-09,2.0
KOMATSU,WA480,6,92109,2019-01-10T00:44:00+07:00,-6.153633,106.9339,2019-01-09,2.0
KOMATSU,WA480,6,92108,2019-01-10T00:12:00+07:00,-6.1539,106.934266,2019-01-09,2.0
KOMATSU,WA480,6,92093,2019-01-09T02:08:00+08:00,-0.563533,117.008666,2019-01-08,211.0
KOMATSU,WA480,6,92074,2019-01-10T01:24:23+07:00,-6.153466,106.934633,2019-01-09,18.0
KOMATSU,WA480,6,92073,2019-01-10T01:12:23+07:00,-6.153699,106.934699,2019-01-09,19.0
KOMATSU,WA480,6,92036,2019-01-10T01:09:25+07:00,-6.153567,106.9369,2019-01-09,23.0
KOMATSU,WA480,6,92034,2019-01-10T02:03:00+08:00,-2.898099,115.265999,2019-01-09,1172.0
KOMATSU,WA480,6,92033,2019-01-02T01:38:25+07:00,-2.989,114.787133,2019-01-01,1478.0
KOMATSU,WA480,6,92007,2019-01-10T01:09:00+07:00,-2.988466,114.785066,2019-01-09,1154.0
KOMATSU,WA480,6,92006,2019-01-10T02:08:00+08:00,-3.047299,115.152233,2019-01-09,1040.0
